question,answer
"Vào khoảng 20 giờ 30 phút tối thứ Sáu, tại đường Lê Duẩn, đoạn gần ngã tư Nguyễn Trãi, một tài xế xe máy đã vừa vượt đèn đỏ vừa sử dụng điện thoại di động khi đang điều khiển phương tiện, gây nguy hiểm cho người đi bộ và phương tiện khác. Hành vi của tài xế đã vi phạm những quy định nào của Luật Giao thông đường bộ Việt Nam?","Đối với tình huống: Vào khoảng 20 giờ 30 phút tối thứ Sáu, tại đường Lê Duẩn, đoạn gần ngã tư Nguyễn Trãi, một tài xế xe máy đã vừa vượt đèn đỏ vừa sử dụng điện thoại di động khi đang điều khiển phương tiện, gây nguy hiểm cho người đi bộ và phương tiện khác. Hành vi của tài xế đã vi phạm những quy định nào của Luật Giao thông đường bộ Việt Nam?
Theo Luật Giao thông đường bộ Việt Nam, Luật Giao thông đường bộ, xử lý như sau:
1. Vượt đèn đỏ
Tài xế xe máy vượt đèn đỏ khi điều khiển phương tiện.
Mức phạt tiền: từ 300,000 – 400,000 đồng.
Hình phạt bổ sung: có thể bị tước Giấy phép lái xe 1 tháng.
2. Sử dụng điện thoại di động khi điều khiển phương tiện
Tài xế sử dụng điện thoại di động trong khi đang điều khiển xe máy.
Mức phạt tiền: từ 200,000 – 300,000 đồng.
Căn cứ: Luật Giao thông đường bộ, Điều 5, Cấm người điều khiển phương tiện giao thông vượt đèn đỏ hoặc tín hiệu dừng của biển báo, vạch kẻ đường.; Luật Giao thông đường bộ, Điều 18, Người điều khiển xe máy không được sử dụng điện thoại di động khi đang điều khiển phương tiện..
Nếu vi phạm đồng thời, tiền phạt được cộng dồn (tổng từ 500.000 đến 700.000 đồng), và có nguy cơ bị tước GPLX tối đa 1 tháng.
Nếu vi phạm đồng thời, tiền phạt được cộng dồn (tổng khoảng 500,000 – 700,000 đồng), và có nguy cơ bị tước GPLX tối đa 1 tháng."
"Vào khoảng 20 giờ 30 phút tối thứ Sáu, tại đường Lê Duẩn, đoạn gần ngã tư Nguyễn Trãi, một tài xế xe máy đã không tuân thủ tín hiệu đèn giao thông, vượt đèn đỏ và đồng thời sử dụng điện thoại di động khi đang điều khiển phương tiện, dẫn đến va chạm với một xe ô tô đang đi đúng làn đường và đúng tín hiệu đèn. Hành vi của tài xế xe máy có vi phạm các quy định nào của Luật Giao thông đường bộ không?","Đối với tình huống: Vào khoảng 20 giờ 30 phút tối thứ Sáu, tại đường Lê Duẩn, đoạn gần ngã tư Nguyễn Trãi, một tài xế xe máy đã không tuân thủ tín hiệu đèn giao thông, vượt đèn đỏ và đồng thời sử dụng điện thoại di động khi đang điều khiển phương tiện, dẫn đến va chạm với một xe ô tô đang đi đúng làn đường và đúng tín hiệu đèn. Hành vi của tài xế xe máy có vi phạm các quy định nào của Luật Giao thông đường bộ không?
Theo Luật Giao thông đường bộ Việt Nam, Luật Giao thông đường bộ, xử lý như sau:
1. Vi phạm tín hiệu đèn giao thông
Tài xế xe máy vượt đèn đỏ.
Mức phạt tiền: từ 100,000 – 200,000 đồng.
2. Sử dụng điện thoại di động khi điều khiển phương tiện
Tài xế sử dụng điện thoại trong lúc lái xe.
Mức phạt tiền: từ 300,000 – 500,000 đồng.
Hình phạt bổ sung: có thể bị tước Giấy phép lái xe 1 tháng.
Căn cứ: Luật Giao thông đường bộ, Điều 12, Các phương tiện phải tuân thủ tín hiệu đèn giao thông.; Luật Giao thông đường bộ, Điều 38, Người điều khiển xe không được sử dụng điện thoại di động khi đang điều khiển phương tiện..
Nếu vi phạm đồng thời, tiền phạt được cộng dồn (tổng từ 400.000 đến 700.000 đồng), và có nguy cơ bị tước GPLX tối đa 1 tháng.
Nếu vi phạm đồng thời, tiền phạt được cộng dồn (tổng khoảng 400,000 – 700,000 đồng), và có nguy cơ bị tước GPLX tối đa 1 tháng."
"Vào lúc 20 giờ 30 phút ngày 15/7/2023, trên tuyến đường Lê Duẩn, đoạn qua quận Hải Châu, thành phố Đà Nẵng, một tài xế điều khiển xe ô tô con mang biển số 43A-123.45 đã vi phạm bằng cách chạy quá tốc độ 50km/h trên đoạn đường có tốc độ tối đa 40km/h và đồng thời sử dụng điện thoại di động khi đang điều khiển phương tiện, dẫn đến va chạm với một người đi bộ đang qua đường tại vạch sang đường không có tín hiệu đèn giao thông.","Đối với tình huống: Vào lúc 20 giờ 30 phút ngày 15/7/2023, trên tuyến đường Lê Duẩn, đoạn qua quận Hải Châu, thành phố Đà Nẵng, một tài xế điều khiển xe ô tô con mang biển số 43A-123.45 đã vi phạm bằng cách chạy quá tốc độ 50km/h trên đoạn đường có tốc độ tối đa 40km/h và đồng thời sử dụng điện thoại di động khi đang điều khiển phương tiện, dẫn đến va chạm với một người đi bộ đang qua đường tại vạch sang đường không có tín hiệu đèn giao thông.
Theo Luật Giao thông đường bộ Việt Nam, Luật Giao thông đường bộ năm 2008, xử lý như sau:
1. Vi phạm tốc độ
Chạy quá tốc độ 50km/h trên đoạn đường có tốc độ tối đa 40km/h
Mức phạt tiền: từ 1,000,000 – 2,000,000 đồng.
Hình phạt bổ sung: có thể bị tước Giấy phép lái xe 1 tháng.
2. Sử dụng điện thoại di động khi điều khiển phương tiện
Sử dụng điện thoại di động trong lúc lái xe
Mức phạt tiền: từ 300,000 – 500,000 đồng.
Căn cứ: Luật Giao thông đường bộ năm 2008, Điều 16, Cấm người điều khiển phương tiện giao thông vượt quá tốc độ quy định; Luật Giao thông đường bộ năm 2008, Điều 34, Người điều khiển xe không được sử dụng điện thoại di động khi đang điều khiển phương tiện.
Nếu vi phạm đồng thời, tiền phạt được cộng dồn (tổng từ 1.300.000 đến 2.500.000 đồng), và có nguy cơ bị tước GPLX tối đa 1 tháng.
Nếu vi phạm đồng thời, tiền phạt được cộng dồn (tổng khoảng 1,300,000 – 2,500,000 đồng), và có nguy cơ bị tước GPLX tối đa 1 tháng."
"Vào khoảng 20 giờ 30 phút tối thứ Sáu, tại đường Lê Duẩn, TP.HCM, một tài xế điều khiển xe máy chở theo hai người khác không đội mũ bảo hiểm, đồng thời vượt xe ô tô con đang di chuyển ở làn đường bên phải mà không có tín hiệu báo trước, dẫn đến va chạm với một người đi bộ đang băng qua đường không có vạch sang. Hành vi vi phạm nào đã xảy ra trong tình huống này?","Đối với tình huống: Vào khoảng 20 giờ 30 phút tối thứ Sáu, tại đường Lê Duẩn, TP.HCM, một tài xế điều khiển xe máy chở theo hai người khác không đội mũ bảo hiểm, đồng thời vượt xe ô tô con đang di chuyển ở làn đường bên phải mà không có tín hiệu báo trước, dẫn đến va chạm với một người đi bộ đang băng qua đường không có vạch sang. Hành vi vi phạm nào đã xảy ra trong tình huống này?
Theo Luật Giao thông đường bộ Việt Nam, Luật Giao thông Đường bộ, xử lý như sau:
1. Không đội mũ bảo hiểm
Tài xế và hành khách trên xe máy không đội mũ bảo hiểm.
Mức phạt tiền: từ 100,000 – 200,000 đồng.
2. Vi phạm khi vượt xe
Tài xế vượt xe ô tô con ở làn đường bên phải mà không có tín hiệu báo trước.
Mức phạt tiền: từ 300,000 – 500,000 đồng.
Hình phạt bổ sung: có thể bị tước Giấy phép lái xe 1 tháng.
3. Không chú ý quan sát và gây tai nạn cho người đi bộ
Tài xế gây va chạm với người đi bộ đang băng qua đường không có vạch sang.
Mức phạt tiền: từ 400,000 – 600,000 đồng.
Hình phạt bổ sung: có thể bị tước Giấy phép lái xe 2 tháng.
Căn cứ: Luật Giao thông Đường bộ, Điều 31, Người điều khiển xe máy phải đội mũ bảo hiểm đúng quy cách khi tham gia giao thông.; Luật Giao thông Đường bộ, Điều 14, Khi vượt xe, người lái xe phải có tín hiệu báo trước và đảm bảo an toàn.; Luật Giao thông Đường bộ, Điều 32, Người điều khiển phương tiện phải chú ý quan sát, nhường đường cho người đi bộ khi qua đường..
Nếu vi phạm đồng thời, tiền phạt được cộng dồn (tổng từ 800.000 đến 1.300.000 đồng), và có nguy cơ bị tước GPLX tối đa 3 tháng.
Nếu vi phạm đồng thời, tiền phạt được cộng dồn (tổng khoảng 800,000 – 1,300,000 đồng), và có nguy cơ bị tước GPLX tối đa 2 tháng."
"Vào khoảng 20 giờ 30 phút tối thứ Sáu, tại ngã tư đường Lê Duẩn và đường Trần Phú, một tài xế điều khiển xe máy chở 2 người ngồi sau không đội mũ bảo hiểm, đồng thời vi phạm tốc độ và cố ý lấn làn đường để vượt xe phía trước, dẫn đến va chạm với một chiếc ô tô con đang đi đúng làn đường và đúng tốc độ, làm một người ngồi sau bị thương nặng, hỏi hành vi của tài xế xe máy có vi phạm các quy định nào của Luật Giao thông đường bộ Việt Nam?","Đối với tình huống: Vào khoảng 20 giờ 30 phút tối thứ Sáu, tại ngã tư đường Lê Duẩn và đường Trần Phú, một tài xế điều khiển xe máy chở 2 người ngồi sau không đội mũ bảo hiểm, đồng thời vi phạm tốc độ và cố ý lấn làn đường để vượt xe phía trước, dẫn đến va chạm với một chiếc ô tô con đang đi đúng làn đường và đúng tốc độ, làm một người ngồi sau bị thương nặng, hỏi hành vi của tài xế xe máy có vi phạm các quy định nào của Luật Giao thông đường bộ Việt Nam?
Theo Luật Giao thông đường bộ Việt Nam, Luật Giao thông đường bộ, xử lý như sau:
1. Không đội mũ bảo hiểm
Tài xế chở 2 người ngồi sau không đội mũ bảo hiểm.
Mức phạt tiền: từ 50,000 – 100,000 đồng.
2. Vi phạm tốc độ
Tài xế vi phạm tốc độ khi điều khiển xe máy.
Mức phạt tiền: từ 200,000 – 400,000 đồng.
Hình phạt bổ sung: có thể bị tước Giấy phép lái xe 1 tháng.
3. Lấn làn đường để vượt xe
Tài xế cố ý lấn làn đường để vượt xe phía trước.
Mức phạt tiền: từ 300,000 – 500,000 đồng.
Hình phạt bổ sung: có thể bị tước Giấy phép lái xe 2 tháng.
Căn cứ: Luật Giao thông đường bộ, Điều 31, Người điều khiển phương tiện phải đội mũ bảo hiểm khi tham gia giao thông.; Luật Giao thông đường bộ, Điều 50, Phương tiện tham gia giao thông phải tuân thủ tốc độ quy định.; Luật Giao thông đường bộ, Điều 14, Không được lấn làn đường khi điều khiển phương tiện..
Nếu vi phạm đồng thời, tiền phạt được cộng dồn (tổng từ 550.000 đến 1.000.000 đồng), và có nguy cơ bị tước GPLX tối đa 3 tháng.
Nếu vi phạm đồng thời, tiền phạt được cộng dồn (tổng khoảng 550,000 – 1,000,000 đồng), và có nguy cơ bị tước GPLX tối đa 2 tháng."
"Vào khoảng 20 giờ 30 phút tối thứ Sáu, tại đoạn đường Lê Duẩn, TP. Hồ Chí Minh, một tài xế xe máy đã không tuân thủ tín hiệu đèn giao thông, chạy qua khi đèn đỏ, đồng thời trong tình huống đó còn lạng lách, đánh võng để vượt xe phía trước, gây nguy hiểm cho người tham gia giao thông xung quanh, vậy hành vi của tài xế có vi phạm các quy định nào của Luật Giao thông đường bộ không?","Đối với tình huống: Vào khoảng 20 giờ 30 phút tối thứ Sáu, tại đoạn đường Lê Duẩn, TP. Hồ Chí Minh, một tài xế xe máy đã không tuân thủ tín hiệu đèn giao thông, chạy qua khi đèn đỏ, đồng thời trong tình huống đó còn lạng lách, đánh võng để vượt xe phía trước, gây nguy hiểm cho người tham gia giao thông xung quanh, vậy hành vi của tài xế có vi phạm các quy định nào của Luật Giao thông đường bộ không?
Theo Luật Giao thông đường bộ Việt Nam, Luật Giao thông đường bộ, xử lý như sau:
1. Vi phạm tín hiệu đèn giao thông
Tài xế xe máy chạy qua khi đèn đỏ.
Mức phạt tiền: từ 800,000 – 1,200,000 đồng.
2. Lạng lách, đánh võng
Tài xế lạng lách, đánh võng để vượt xe phía trước, gây nguy hiểm cho người tham gia giao thông.
Mức phạt tiền: từ 300,000 – 500,000 đồng.
Hình phạt bổ sung: có thể bị tước Giấy phép lái xe 1 tháng.
Căn cứ: Luật Giao thông đường bộ, Điều 5, Các phương tiện phải tuân thủ tín hiệu đèn giao thông.; Luật Giao thông đường bộ, Điều 13, Cấm lạng lách, đánh võng trên đường bộ..
Nếu vi phạm đồng thời, tiền phạt được cộng dồn (tổng từ 1.100.000 đến 1.700.000 đồng), và có nguy cơ bị tước GPLX tối đa 1 tháng.
Nếu vi phạm đồng thời, tiền phạt được cộng dồn (tổng khoảng 1,100,000 – 1,700,000 đồng), và có nguy cơ bị tước GPLX tối đa 1 tháng."
"Vào khoảng 20 giờ 30 phút tối thứ Sáu, tại đường Lê Duẩn, đoạn qua trung tâm thành phố, một tài xế xe máy đã vi phạm bằng cách chạy quá tốc độ 50km/h (trên đường có tốc độ tối đa 40km/h) và đồng thời sử dụng điện thoại di động khi đang điều khiển phương tiện, dẫn đến va chạm với một người đi bộ đang băng qua đường không có đèn tín hiệu. Hành vi vi phạm nào của tài xế xe máy đã gây ra tai nạn và bị xử lý theo quy định của Luật Giao thông đường bộ Việt Nam?","Đối với tình huống: Vào khoảng 20 giờ 30 phút tối thứ Sáu, tại đường Lê Duẩn, đoạn qua trung tâm thành phố, một tài xế xe máy đã vi phạm bằng cách chạy quá tốc độ 50km/h (trên đường có tốc độ tối đa 40km/h) và đồng thời sử dụng điện thoại di động khi đang điều khiển phương tiện, dẫn đến va chạm với một người đi bộ đang băng qua đường không có đèn tín hiệu. Hành vi vi phạm nào của tài xế xe máy đã gây ra tai nạn và bị xử lý theo quy định của Luật Giao thông đường bộ Việt Nam?
Theo Luật Giao thông đường bộ Việt Nam, Luật Giao thông đường bộ, xử lý như sau:
1. Vi phạm tốc độ
Chạy quá tốc độ 50km/h trên đường có tốc độ tối đa 40km/h
Mức phạt tiền: từ 300,000 – 400,000 đồng.
Hình phạt bổ sung: có thể bị tước Giấy phép lái xe 1 tháng.
2. Sử dụng điện thoại di động khi điều khiển phương tiện
Đang điều khiển xe máy, sử dụng điện thoại di động
Mức phạt tiền: từ 200,000 – 300,000 đồng.
Căn cứ: Luật Giao thông đường bộ, Khoản 1 Điều 50, Cấm người điều khiển phương tiện giao thông đường bộ vi phạm tốc độ, không tuân thủ tín hiệu đèn giao thông; Luật Giao thông đường bộ, Khoản 1 Điều 52, Cấm người điều khiển phương tiện sử dụng điện thoại di động khi đang điều khiển phương tiện.
Nếu vi phạm đồng thời, tiền phạt được cộng dồn (tổng từ 500.000 đến 700.000 đồng), và có nguy cơ bị tước GPLX tối đa 1 tháng.
Nếu vi phạm đồng thời, tiền phạt được cộng dồn (tổng khoảng 500,000 – 700,000 đồng), và có nguy cơ bị tước GPLX tối đa 1 tháng."
"Vào khoảng 20 giờ 30 phút tối thứ Sáu, tại đường Lê Duẩn, đoạn qua trung tâm thành phố, một chiếc xe ô tô con đang di chuyển với tốc độ cao, không tuân thủ tín hiệu đèn giao thông, đồng thời người lái xe còn sử dụng điện thoại di động trong khi điều khiển phương tiện, gây nguy hiểm cho các phương tiện khác và người đi bộ. Hành vi vi phạm của người lái xe trong tình huống này là gì?","Đối với tình huống: Vào khoảng 20 giờ 30 phút tối thứ Sáu, tại đường Lê Duẩn, đoạn qua trung tâm thành phố, một chiếc xe ô tô con đang di chuyển với tốc độ cao, không tuân thủ tín hiệu đèn giao thông, đồng thời người lái xe còn sử dụng điện thoại di động trong khi điều khiển phương tiện, gây nguy hiểm cho các phương tiện khác và người đi bộ. Hành vi vi phạm của người lái xe trong tình huống này là gì?
Theo Luật Giao thông đường bộ Việt Nam, Luật Giao thông đường bộ, Nghị định số 100/2019/NĐ-CP, xử lý như sau:
1. Vi phạm tốc độ
Di chuyển với tốc độ cao
Mức phạt tiền: từ 1,000,000 – 2,000,000 đồng.
2. Không tuân thủ tín hiệu đèn giao thông
Vượt đèn đỏ
Mức phạt tiền: từ 800,000 – 1,500,000 đồng.
Hình phạt bổ sung: có thể bị tước Giấy phép lái xe 1 tháng.
3. Sử dụng điện thoại di động khi điều khiển phương tiện
Gây nguy hiểm cho các phương tiện khác và người đi bộ
Mức phạt tiền: từ 300,000 – 500,000 đồng.
Hình phạt bổ sung: có thể bị tước Giấy phép lái xe 1 tháng.
Căn cứ: Luật Giao thông đường bộ, Điều 14, Cấm các hành vi gây nguy hiểm đến an toàn giao thông; Nghị định số 100/2019/NĐ-CP, Điều 5, Quy định về tốc độ và khoảng cách giữa các phương tiện; Nghị định số 100/2019/NĐ-CP, Điều 8, Quy định về tín hiệu đèn giao thông; Nghị định số 100/2019/NĐ-CP, Điều 36, Cấm sử dụng điện thoại di động khi điều khiển phương tiện.
Nếu vi phạm đồng thời, tiền phạt được cộng dồn (tổng từ 2.100.000 đến 4.000.000 đồng), và có nguy cơ bị tước GPLX tối đa 3 tháng.
Nếu vi phạm đồng thời, tiền phạt được cộng dồn (tổng khoảng 2,100,000 – 4,000,000 đồng), và có nguy cơ bị tước GPLX tối đa 1 tháng."
"Vào khoảng 20 giờ 30 phút tối thứ Sáu, tại khu vực đường Lê Duẩn, đoạn gần ngã tư Trần Hưng Đạo, một tài xế điều khiển xe ô tô con đang chạy với tốc độ cao, không tuân thủ biển báo giới hạn tốc độ 50km/h, đồng thời vi phạm quy định bằng cách sử dụng điện thoại di động khi đang điều khiển phương tiện, dẫn đến va chạm với một xe máy đang vượt đèn đỏ tại ngã tư.","Đối với tình huống: Vào khoảng 20 giờ 30 phút tối thứ Sáu, tại khu vực đường Lê Duẩn, đoạn gần ngã tư Trần Hưng Đạo, một tài xế điều khiển xe ô tô con đang chạy với tốc độ cao, không tuân thủ biển báo giới hạn tốc độ 50km/h, đồng thời vi phạm quy định bằng cách sử dụng điện thoại di động khi đang điều khiển phương tiện, dẫn đến va chạm với một xe máy đang vượt đèn đỏ tại ngã tư.
Theo Luật Giao thông đường bộ Việt Nam, Luật Giao thông đường bộ, Nghị định số 100/2019/NĐ-CP, xử lý như sau:
1. Vi phạm tốc độ
Chạy quá tốc độ giới hạn 50km/h
Mức phạt tiền: từ 300,000 – 500,000 đồng.
Hình phạt bổ sung: có thể bị tước Giấy phép lái xe 1 tháng.
2. Sử dụng điện thoại di động khi điều khiển phương tiện
Sử dụng điện thoại di động trong lúc lái xe
Mức phạt tiền: từ 200,000 – 300,000 đồng.
Hình phạt bổ sung: có thể bị tước Giấy phép lái xe 1 tháng.
Căn cứ: Luật Giao thông đường bộ, Điều 15, Cấm các hành vi vi phạm tốc độ, không tuân thủ biển báo; Nghị định số 100/2019/NĐ-CP, Điều 8, Quy định xử phạt vi phạm tốc độ và sử dụng điện thoại khi lái xe.
Nếu vi phạm đồng thời, tiền phạt được cộng dồn (tổng từ 500.000 đến 800.000 đồng), và có nguy cơ bị tước GPLX tối đa 2 tháng.
Nếu vi phạm đồng thời, tiền phạt được cộng dồn (tổng khoảng 500,000 – 800,000 đồng), và có nguy cơ bị tước GPLX tối đa 1 tháng."
"Vào khoảng 20 giờ 30 phút tối thứ Sáu, tại đoạn đường Lê Duẩn, TP.Hà Nội, một chiếc xe máy đang di chuyển với tốc độ cao, không đội mũ bảo hiểm, sau đó bất ngờ chuyển làn đường mà không báo hiệu, gây tai nạn cho một người đi bộ đang qua đường ở khu vực không có đèn tín hiệu giao thông.","Đối với tình huống: Vào khoảng 20 giờ 30 phút tối thứ Sáu, tại đoạn đường Lê Duẩn, TP.Hà Nội, một chiếc xe máy đang di chuyển với tốc độ cao, không đội mũ bảo hiểm, sau đó bất ngờ chuyển làn đường mà không báo hiệu, gây tai nạn cho một người đi bộ đang qua đường ở khu vực không có đèn tín hiệu giao thông.
Theo Luật Giao thông đường bộ Việt Nam, Luật Giao thông đường bộ, Nghị định số 100/2019/NĐ-CP, xử lý như sau:
1. Vi phạm tốc độ
Xe máy di chuyển với tốc độ cao.
2. Không đội mũ bảo hiểm
Người điều khiển xe máy không đội mũ bảo hiểm.
Mức phạt tiền: từ 200,000 – 300,000 đồng.
3. Chuyển làn đường không báo hiệu
Xe máy chuyển làn đường mà không báo hiệu.
Mức phạt tiền: từ 100,000 – 200,000 đồng.
Căn cứ: Luật Giao thông đường bộ, Điều 18, Cấm người điều khiển phương tiện giao thông đường bộ đi với tốc độ vượt quá giới hạn cho phép.; Nghị định số 100/2019/NĐ-CP, Điều 5, Người điều khiển xe mô tô, xe gắn máy không đội mũ bảo hiểm hoặc đội mũ bảo hiểm không trùm kín đầu bị phạt tiền từ 200.000 đồng đến 300.000 đồng.; Luật Giao thông đường bộ, Điều 14, Người điều khiển phương tiện phải báo hiệu khi chuyển làn, đổi hướng..
Nếu vi phạm đồng thời, tiền phạt được cộng dồn (tổng từ 300.000 đến 500.000 đồng), và có nguy cơ bị tước GPLX tối đa 0 tháng.
Nếu vi phạm đồng thời, tiền phạt được cộng dồn (tổng khoảng 300,000 – 500,000 đồng)."
