question,answer
"Một lái xe ô tô, vào lúc 14h30 ngày 12/04/2025, đang di chuyển trên đường tỉnh quốc Lạng Sơn, Việt Nam, vượt quá tốc độ quy định 30 km/h, chạy lề trái vào làn xe phải, đồng thời bỏ qua tín hiệu đèn đỏ tại một đường tắt. Hành vi vi phạm giao thông nào mà người lái xe này đã thực hiện?","Đối với tình huống: Một lái xe ô tô, vào lúc 14h30 ngày 12/04/2025, đang di chuyển trên đường tỉnh quốc Lạng Sơn, Việt Nam, vượt quá tốc độ quy định 30 km/h, chạy lề trái vào làn xe phải, đồng thời bỏ qua tín hiệu đèn đỏ tại một đường tắt. Hành vi vi phạm giao thông nào mà người lái xe này đã thực hiện?
Theo Luật Giao thông đường bộ Việt Nam, Luật Giao thông đường bộ 2019, xử lý như sau:
1. Vượt quá tốc độ quy định 30 km/h
Vi phạm tốc độ vượt quá giới hạn quy định trên đường tỉnh quốc.
Mức phạt tiền: từ 5,000,000 – 10,000,000 đồng.
Hình phạt bổ sung: có thể bị tước Giấy phép lái xe 6 tháng.
2. Chạy lề trái vào làn xe phải
Vi phạm điều khiển phương tiện không đúng phía đường.
Mức phạt tiền: từ 5,000,000 – 10,000,000 đồng.
Hình phạt bổ sung: có thể bị tước Giấy phép lái xe 6 tháng.
3. Bỏ qua tín hiệu đèn đỏ
Vi phạm không tuân thủ tín hiệu giao thông tại đường tắt.
Mức phạt tiền: từ 5,000,000 – 10,000,000 đồng.
Hình phạt bổ sung: có thể bị tước Giấy phép lái xe 6 tháng.
Căn cứ: Luật Giao thông đường bộ 2019, Điều 30, Vượt quá tốc độ quy định; Luật Giao thông đường bộ 2019, Điều 31, Điều khiển phương tiện không đúng phía đường; Luật Giao thông đường bộ 2019, Điều 32, Bỏ qua tín hiệu giao thông.
Nếu vi phạm đồng thời, tiền phạt được cộng dồn (tổng từ 15000000 đến 30000000 đồng), và có nguy cơ bị tước GPLX tối đa 18 tháng.
Nếu vi phạm đồng thời, tiền phạt được cộng dồn (tổng khoảng 15,000,000 – 30,000,000 đồng), và có nguy cơ bị tước GPLX tối đa 6 tháng."
"Vào lúc 17:30 phút ngày 20/9/2023, tại giao lộ đường 2 chiều, đường phố Nguyễn Thị Minh Khai, quận 10, Thành phố Hồ Chí Minh, một chiếc xe ô tô loại 4 chỗ (đăng ký số 21A34567) được lái bởi Lê Văn Hùng, khi đang di chuyển với tốc độ 70 km/h trên lề phải (điều kiện giới hạn tốc độ 50 km/h) và không đeo dây an toàn khi đã dừng tại đèn đỏ, đã vi phạm hai hành vi giao thông: (1) vượt tốc độ quy định; (2) không đeo dây an toàn. Hãy liệt kê các hành vi vi phạm và mức phạt mà Lê Văn Hùng phải chịu theo Bộ luật Giao thông đường bộ Việt Nam.","Đối với tình huống: Vào lúc 17:30 phút ngày 20/9/2023, tại giao lộ đường 2 chiều, đường phố Nguyễn Thị Minh Khai, quận 10, Thành phố Hồ Chí Minh, một chiếc xe ô tô loại 4 chỗ (đăng ký số 21A34567) được lái bởi Lê Văn Hùng, khi đang di chuyển với tốc độ 70 km/h trên lề phải (điều kiện giới hạn tốc độ 50 km/h) và không đeo dây an toàn khi đã dừng tại đèn đỏ, đã vi phạm hai hành vi giao thông: (1) vượt tốc độ quy định; (2) không đeo dây an toàn. Hãy liệt kê các hành vi vi phạm và mức phạt mà Lê Văn Hùng phải chịu theo Bộ luật Giao thông đường bộ Việt Nam.
Theo Luật Giao thông đường bộ Việt Nam, Bộ luật Giao thông đường bộ Việt Nam, xử lý như sau:
1. Vượt tốc độ quy định
Đang di chuyển với tốc độ 70 km/h trên lề phải khi giới hạn tốc độ là 50 km/h.
Mức phạt tiền: từ 5,000,000 – 10,000,000 đồng.
Hình phạt bổ sung: có thể bị tước Giấy phép lái xe 3 tháng.
2. Không đeo dây an toàn khi đã dừng tại đèn đỏ
Không đeo dây an toàn khi đã dừng tại đèn đỏ.
Mức phạt tiền: từ 5,000,000 – 10,000,000 đồng.
Hình phạt bổ sung: có thể bị tước Giấy phép lái xe 3 tháng.
Căn cứ: Bộ luật Giao thông đường bộ Việt Nam, 70, Điều 70; Bộ luật Giao thông đường bộ Việt Nam, 71, Điều 71.
Nếu vi phạm đồng thời, tiền phạt được cộng dồn (tổng từ 10 triệu đồng đến 20 triệu đồng), và có nguy cơ bị tước GPLX tối đa 6 tháng.
Nếu vi phạm đồng thời, tiền phạt được cộng dồn (tổng khoảng 10,000,000 – 20,000,000 đồng), và có nguy cơ bị tước GPLX tối đa 3 tháng."
"Vào lúc 02:30 sáng, ngày 22/11/2023, tại ngã tư đường cao tốc Hà Nội – Hải Phòng, một chiếc xe máy đang: (1) chạy tốc độ 160 km/h, vượt mức giới hạn tốc độ 120 km/h quy định cho khu vực; (2) lái xe trong tình trạng rượu cồn, vượt quá giới hạn phép cho phép, đồng thời (3) không đội mũ bảo hiểm và bỏ qua tín hiệu đèn giao thông; (4) không giữ khoảng cách an toàn khi chờ tại đèn đỏ. Trong tình huống này, người vi phạm đang thực hiện những hành vi vi phạm giao thông nào, và theo quy định pháp luật Việt Nam, các hình phạt có thể áp dụng là gì?","Đối với tình huống: Vào lúc 02:30 sáng, ngày 22/11/2023, tại ngã tư đường cao tốc Hà Nội – Hải Phòng, một chiếc xe máy đang: (1) chạy tốc độ 160 km/h, vượt mức giới hạn tốc độ 120 km/h quy định cho khu vực; (2) lái xe trong tình trạng rượu cồn, vượt quá giới hạn phép cho phép, đồng thời (3) không đội mũ bảo hiểm và bỏ qua tín hiệu đèn giao thông; (4) không giữ khoảng cách an toàn khi chờ tại đèn đỏ. Trong tình huống này, người vi phạm đang thực hiện những hành vi vi phạm giao thông nào, và theo quy định pháp luật Việt Nam, các hình phạt có thể áp dụng là gì?
Theo Luật Giao thông đường bộ Việt Nam, Luật Giao thông đường bộ 30/2009/QH13, xử lý như sau:
1. Vượt tốc độ
Chạy tốc độ 160 km/h vượt mức giới hạn 120 km/h
Mức phạt tiền: từ 5,000,000 – 10,000,000 đồng.
Hình phạt bổ sung: có thể bị tước Giấy phép lái xe 3 tháng.
2. Lái xe trong tình trạng rượu cồn
Vượt quá giới hạn phép cho phép
Mức phạt tiền: từ 10,000,000 – 20,000,000 đồng.
Hình phạt bổ sung: có thể bị tước Giấy phép lái xe 6 tháng.
3. Không đội mũ bảo hiểm
Không đội mũ bảo hiểm khi lái xe máy
Mức phạt tiền: từ 1,000,000 – 3,000,000 đồng.
Hình phạt bổ sung: có thể bị tước Giấy phép lái xe 1 tháng.
4. Bỏ qua tín hiệu đèn giao thông
Không tuân thủ tín hiệu đèn giao thông
Mức phạt tiền: từ 1,000,000 – 3,000,000 đồng.
Hình phạt bổ sung: có thể bị tước Giấy phép lái xe 1 tháng.
5. Không giữ khoảng cách an toàn
Không giữ khoảng cách an toàn khi chờ tại đèn đỏ
Mức phạt tiền: từ 1,000,000 – 3,000,000 đồng.
Hình phạt bổ sung: có thể bị tước Giấy phép lái xe 1 tháng.
Căn cứ: Luật Giao thông đường bộ 30/2009/QH13, Điều 71, Vượt tốc độ; Luật Giao thông đường bộ 30/2009/QH13, Điều 72, Lái xe trong tình trạng rượu cồn; Luật Giao thông đường bộ 30/2009/QH13, Điều 73, Không đội mũ bảo hiểm; Luật Giao thông đường bộ 30/2009/QH13, Điều 74, Bỏ qua tín hiệu đèn giao thông; Luật Giao thông đường bộ 30/2009/QH13, Điều 75, Không giữ khoảng cách an toàn.
Nếu vi phạm đồng thời, tiền phạt được cộng dồn (tổng từ 18.000.000 đến 39.000.000 đồng), và có nguy cơ bị tước GPLX tối đa 12 tháng.
Nếu vi phạm đồng thời, tiền phạt được cộng dồn (tổng khoảng 18,000,000 – 39,000,000 đồng), và có nguy cơ bị tước GPLX tối đa 6 tháng."
"Vào lúc 22h30, trên đường tỉnh thành Phú Thọ, một chiếc xe máy đang di chuyển theo hướng Đông qua ngã tư đường ống hai lane, khi đèn giao thông chuyển sang màu đỏ, người lái vẫn tiếp tục di chuyển mà không dừng lại. Đồng thời, người lái cũng đã vượt qua biển dừng và không bật tín hiệu trước khi rẽ sang bên phải. Hành vi nào người lái đã vi phạm luật giao thông trong trường hợp này?","Đối với tình huống: Vào lúc 22h30, trên đường tỉnh thành Phú Thọ, một chiếc xe máy đang di chuyển theo hướng Đông qua ngã tư đường ống hai lane, khi đèn giao thông chuyển sang màu đỏ, người lái vẫn tiếp tục di chuyển mà không dừng lại. Đồng thời, người lái cũng đã vượt qua biển dừng và không bật tín hiệu trước khi rẽ sang bên phải. Hành vi nào người lái đã vi phạm luật giao thông trong trường hợp này?
Theo Luật Giao thông đường bộ Việt Nam, Luật Giao thông đường bộ, xử lý như sau:
1. Không dừng lại khi đèn đỏ
Xe máy tiếp tục di chuyển khi đèn giao thông chuyển sang màu đỏ.
Mức phạt tiền: từ 5,000,000 – 10,000,000 đồng.
Hình phạt bổ sung: có thể bị tước Giấy phép lái xe 6 tháng.
2. Không dừng lại khi biển dừng
Xe máy vượt qua biển dừng.
Mức phạt tiền: từ 5,000,000 – 10,000,000 đồng.
Hình phạt bổ sung: có thể bị tước Giấy phép lái xe 6 tháng.
3. Không bật tín hiệu trước khi rẽ
Xe máy không bật tín hiệu khi rẽ sang bên phải.
Mức phạt tiền: từ 5,000,000 – 10,000,000 đồng.
Hình phạt bổ sung: có thể bị tước Giấy phép lái xe 6 tháng.
Căn cứ: Luật Giao thông đường bộ, 44, Điều 44; Luật Giao thông đường bộ, 45, Điều 45; Luật Giao thông đường bộ, 46, Điều 46.
Nếu vi phạm đồng thời, tiền phạt được cộng dồn (tổng từ 15,000,000 đến 30,000,000 đồng), và có nguy cơ bị tước GPLX tối đa 6 tháng.
Nếu vi phạm đồng thời, tiền phạt được cộng dồn (tổng khoảng 15,000,000 – 30,000,000 đồng), và có nguy cơ bị tước GPLX tối đa 6 tháng."
"Công dân Nguyễn Văn A đang lái xe máy trên đường quốc lộ 1A (đường bộ hai làn, tốc độ 80 km/h), vào lúc 6:30 chiều, anh dừng lại khi nhận thấy đèn giao thông đã chuyển sang đỏ. Tuy nhiên, vì muốn gấp, anh đã vượt qua đèn đỏ, tiếp tục lái qua một chiếc xe tải đang đỗ ở lề đường, sau đó lái xe máy vượt vào chiều ngược lại trên một đoạn đường chéo và không đội mũ bảo hiểm. Trong tình huống này, các hành vi vi phạm giao thông nào?","Đối với tình huống: Công dân Nguyễn Văn A đang lái xe máy trên đường quốc lộ 1A (đường bộ hai làn, tốc độ 80 km/h), vào lúc 6:30 chiều, anh dừng lại khi nhận thấy đèn giao thông đã chuyển sang đỏ. Tuy nhiên, vì muốn gấp, anh đã vượt qua đèn đỏ, tiếp tục lái qua một chiếc xe tải đang đỗ ở lề đường, sau đó lái xe máy vượt vào chiều ngược lại trên một đoạn đường chéo và không đội mũ bảo hiểm.
Theo Luật Giao thông đường bộ Việt Nam, Luật Giao thông đường bộ, xử lý như sau:
1. Vượt qua đèn đỏ
đi qua đèn giao thông chuyển sang đỏ
Mức phạt tiền: từ 1,000,000 – 1,000,000 đồng.
2. Vượt qua xe đang dừng
đi qua xe tải đang đỗ ở lề đường
Mức phạt tiền: từ 1,000,000 – 1,000,000 đồng.
3. Đi ngược chiều
đi vào chiều ngược lại trên đoạn đường chéo
Mức phạt tiền: từ 1,000,000 – 1,000,000 đồng.
4. Không đội mũ bảo hiểm
không đội mũ bảo hiểm khi lái xe máy
Mức phạt tiền: từ 500,000 – 500,000 đồng.
Căn cứ: Luật Giao thông đường bộ, 54, Vượt qua đèn đỏ; Luật Giao thông đường bộ, 53, Vượt qua xe đang dừng; Luật Giao thông đường bộ, 55, Đi ngược chiều; Luật Giao thông đường bộ, 56, Không đội mũ bảo hiểm.
Nếu vi phạm đồng thời, tiền phạt được cộng dồn (tổng từ 3,500,000 đến 3,500,000 đồng), và có nguy cơ bị tước GPLX tối đa 0 tháng.
Nếu vi phạm đồng thời, tiền phạt được cộng dồn (tổng khoảng 3,500,000 – 3,500,000 đồng)."
"Vào lúc 19h30 ngày 12/04/2023, tại ngã tư đường Trần Hưng Đạo và đường tỉnh Đường, trên đoạn đường quốc lộ 1A (đường bộ cấp 1), một xe tải thô (có ký hiệu ""V"" – tải trọng 2.5 tấn) đang di chuyển theo chiều Tây, khi tới ngã tư đã: 1) tiếp tục đi qua đèn giao thông đỏ; 2) lùi xe một quãng dài để đẩy người nương lên ghế 2 của xe tải, vi phạm luật giao thông đường bộ Việt Nam. Trong tình huống này, người lái xe đã vi phạm những quy định nào của Luật Giao thông đường bộ?","Đối với tình huống: Vào lúc 19h30 ngày 12/04/2023, tại ngã tư đường Trần Hưng Đạo và đường tỉnh Đường, trên đoạn đường quốc lộ 1A (đường bộ cấp 1), một xe tải thô (có ký hiệu ""V"" – tải trọng 2.5 tấn) đang di chuyển theo chiều Tây, khi tới ngã tư đã: 1) tiếp tục đi qua đèn giao thông đỏ; 2) lùi xe một quãng dài để đẩy người nương lên ghế 2 của xe tải, vi phạm luật giao thông đường bộ Việt Nam. Trong tình huống này, người lái xe đã vi phạm những quy định nào của Luật Giao thông đường bộ Việt Nam.
Theo Luật Giao thông đường bộ Việt Nam, Luật Giao thông đường bộ 2009, xử lý như sau:
1. Vượt qua đèn giao thông đỏ
Xe tải tiếp tục di chuyển khi đèn giao thông đang đỏ, vi phạm quy định không vượt qua đèn đỏ.
Mức phạt tiền: từ 5,000,000 – 10,000,000 đồng.
Hình phạt bổ sung: có thể bị tước Giấy phép lái xe 3 tháng.
2. Thực hiện hành vi gây nguy hiểm khi lùi xe để đẩy người nương lên ghế 2
Lùi xe một quãng dài để đẩy người nương lên ghế 2 gây nguy hiểm cho người khác và vi phạm quy định về hành vi gây nguy hiểm.
Mức phạt tiền: từ 5,000,000 – 10,000,000 đồng.
Hình phạt bổ sung: có thể bị tước Giấy phép lái xe 3 tháng.
Căn cứ: Luật Giao thông đường bộ 2009, 66, 1; Luật Giao thông đường bộ 2009, 68, 1; Luật Giao thông đường bộ 2009, 69, 1.
Nếu vi phạm đồng thời, tiền phạt được cộng dồn (tổng từ 15,000,000 đến 30,000,000 đồng), và có nguy cơ bị tước GPLX tối đa 3 tháng.
Nếu vi phạm đồng thời, tiền phạt được cộng dồn (tổng khoảng 10,000,000 – 20,000,000 đồng), và có nguy cơ bị tước GPLX tối đa 3 tháng."
"Vào lúc 7 giờ sáng ngày 12/07/2024, trên đoạn đường Đường Trần Đại Nghĩa (đường cao tốc 2 chiều) tại Quận 2, TP.HCM, một chiếc xe máy do Nguyễn Văn A điều khiển đang chạy trên dải bên phải nhưng đã nhảy sang dải bên trái để vượt qua một chiếc xe tải, đồng thời không đội mũ bảo hiểm khi lái xe và vượt qua lề xe cấm. Nếu cảnh sát giao thông phát hiện và xử lý Nguyễn Văn A, anh ta đã phạm vi hành vi vi phạm giao thông nào trong tình huống này và mức phạt pháp lý tương ứng theo quy định của Luật Giao thông đường bộ Việt Nam?","Đối với tình huống: Vào lúc 7 giờ sáng ngày 12/07/2024, trên đoạn đường Đường Trần Đại Nghĩa (đường cao tốc 2 chiều) tại Quận 2, TP.HCM, một chiếc xe máy do Nguyễn Văn A điều khiển đang chạy trên dải bên phải nhưng đã nhảy sang dải bên trái để vượt qua một chiếc xe tải, đồng thời không đội mũ bảo hiểm khi lái xe và vượt qua lề xe cấm. Nếu cảnh sát giao thông phát hiện và xử lý Nguyễn Văn A, anh ta đã phạm vi hành vi vi phạm giao thông nào trong tình huống này và mức phạt pháp lý tương ứng theo quy định của Luật Giao thông đường bộ Việt Nam?
Theo Luật Giao thông đường bộ Việt Nam, Luật Giao thông đường bộ, xử lý như sau:
1. Vượt qua trên dải bên trái
Chuyển sang dải bên trái để vượt qua xe tải trên đường cao tốc.
Mức phạt tiền: từ 5,000,000 – 10,000,000 đồng.
Hình phạt bổ sung: có thể bị tước Giấy phép lái xe 3 tháng.
2. Vượt qua lề xe cấm
Vượt qua trong khu vực lề xe cấm.
Mức phạt tiền: từ 5,000,000 – 10,000,000 đồng.
Hình phạt bổ sung: có thể bị tước Giấy phép lái xe 3 tháng.
3. Không đội mũ bảo hiểm khi lái xe
Lái xe máy mà không đội mũ bảo hiểm.
Mức phạt tiền: từ 1,000,000 – 3,000,000 đồng.
Hình phạt bổ sung: có thể bị tước Giấy phép lái xe 3 tháng.
Căn cứ: Luật Giao thông đường bộ, 66, 1; Luật Giao thông đường bộ, 66, 2; Luật Giao thông đường bộ, 67.
Nếu vi phạm đồng thời, tiền phạt được cộng dồn (tổng từ 11000000 đến 23000000 đồng), và có nguy cơ bị tước GPLX tối đa 9 tháng.
Nếu vi phạm đồng thời, tiền phạt được cộng dồn (tổng khoảng 11,000,000 – 23,000,000 đồng), và có nguy cơ bị tước GPLX tối đa 3 tháng."
"Vào lúc 19h00 ngày 5/11/2023, tại giao lộ đường tỉnh lộ 8 và đường tỉnh lộ 12, một chiếc xe tải tải hàng và một chiếc xe máy đã tham gia vòng xoay; xe tải đã vượt qua rào chắn, không giữ khoảng cách an toàn và vận tốc của xe vượt quá giới hạn, trong khi xe máy không đội mũ bảo hiểm, đã ngược chiều khi trượt lề vào vòng xoay. Dựa trên Luật Giao thông đường bộ Việt Nam, các hành vi vi phạm nào của hai phương tiện này cần được xác định và những hình thức xử lý pháp lý phù hợp sẽ là gì?","Đối với tình huống: Vào lúc 19h00 ngày 5/11/2023, tại giao lộ đường tỉnh lộ 8 và đường tỉnh lộ 12, một chiếc xe tải tải hàng và một chiếc xe máy đã tham gia vòng xoay; xe tải đã vượt qua rào chắn, không giữ khoảng cách an toàn và vận tốc của xe vượt quá giới hạn, trong khi xe máy không đội mũ bảo hiểm, đã ngược chiều khi trượt lề vào vòng xoay. Dựa trên Luật Giao thông đường bộ Việt Nam, các hành vi vi phạm nào của hai phương tiện này cần được xác định và những hình thức xử lý pháp lý phù hợp sẽ là gì?
Theo Luật Giao thông đường bộ Việt Nam, Luật Giao thông đường bộ Việt Nam, xử lý như sau:
1. Vượt qua rào chắn
Xe tải vượt qua rào chắn tại giao lộ
Mức phạt tiền: từ 5,000,000 – 10,000,000 đồng.
Hình phạt bổ sung: có thể bị tước Giấy phép lái xe 3 tháng.
2. Không giữ khoảng cách an toàn
Xe tải không giữ khoảng cách an toàn với phương tiện phía trước
Mức phạt tiền: từ 5,000,000 – 10,000,000 đồng.
Hình phạt bổ sung: có thể bị tước Giấy phép lái xe 3 tháng.
3. Vận tốc vượt quá giới hạn
Xe tải vận tốc vượt quá giới hạn quy định tại giao lộ
Mức phạt tiền: từ 5,000,000 – 10,000,000 đồng.
Hình phạt bổ sung: có thể bị tước Giấy phép lái xe 3 tháng.
4. Không đội mũ bảo hiểm
Xe máy không đội mũ bảo hiểm khi tham gia vòng xoay
Mức phạt tiền: từ 1,000,000 – 2,000,000 đồng.
Hình phạt bổ sung: có thể bị tước Giấy phép lái xe 3 tháng.
5. Ngược chiều khi trượt lề vào vòng xoay
Xe máy ngược chiều khi trượt lề vào vòng xoay
Mức phạt tiền: từ 5,000,000 – 10,000,000 đồng.
Hình phạt bổ sung: có thể bị tước Giấy phép lái xe 3 tháng.
Căn cứ: Luật Giao thông đường bộ Việt Nam, 60, Vi phạm biển báo, tín hiệu, dấu hiệu giao thông; Luật Giao thông đường bộ Việt Nam, 61, Vi phạm khoảng cách an toàn; Luật Giao thông đường bộ Việt Nam, 62, Vi phạm giới hạn tốc độ; Luật Giao thông đường bộ Việt Nam, 57, Vi phạm không đội mũ bảo hiểm; Luật Giao thông đường bộ Việt Nam, 63, Vi phạm quy tắc giao thông.
Nếu vi phạm đồng thời, tiền phạt được cộng dồn (tổng từ 21000000 đến 42000000 đồng), và có nguy cơ bị tước GPLX tối đa 3 tháng.
Nếu vi phạm đồng thời, tiền phạt được cộng dồn (tổng khoảng 21,000,000 – 42,000,000 đồng), và có nguy cơ bị tước GPLX tối đa 3 tháng."
"Một lái xe tải, vào lúc 06h00 tại đoạn đường hai làn của Quốc lộ 1B giữa thành phố Nha Trang và tỉnh Kon Tum, đang lái xe với tốc độ 120 km/h (vượt giới hạn 100 km/h) qua một điểm dừng có hiệu lệnh dừng, đồng thời không đeo dây an toàn. Hành vi vi phạm giao thông nào xảy ra trong tình huống này?","Đối với tình huống: Một lái xe tải, vào lúc 06h00 tại đoạn đường hai làn của Quốc lộ 1B giữa thành phố Nha Trang và tỉnh Kon Tum, đang lái xe với tốc độ 120 km/h (vượt giới hạn 100 km/h) qua một điểm dừng có hiệu lệnh dừng, đồng thời không đội mũ bảo hiểm.
Theo Luật Giao thông đường bộ Việt Nam, xử lý như sau:
Nếu vi phạm đồng thời, tiền phạt được cộng dồn (tổng từ 7,000,000 đến 14,000,000 đồng), và có nguy cơ bị tước GPLX tối đa 3 tháng."
"Vào sáng ngày 12/08/2024, tại đoạn đường 2km từ chỗ giao lộ Hòa Bình - Phương Nam, thành phố Cần Thơ, một chiếc xe tải tải trục đơn màu xanh lá đang di chuyển trên đường cao tốc, đã: (i) không đeo dây an toàn khi có hành khách 3 người; (ii) đang sử dụng điện thoại di động trong khi điều khiển xe; (iii) khi tới ngã tư, đã vượt qua tín hiệu đèn đỏ và tiếp tục vào vòng chờ của giao thông đường bộ; (iv) sau khi đỗ ở chỗ dừng xe tải ngay dưới dừng xe buýt, xe tải đã chuyển vào làn đường dành cho xe ô tô để vượt qua một chiếc xe hơi đang đợi đỗ xe. Hình thức vi phạm giao thông nào được ràng buộc trong tình huống này và trách nhiệm pháp lý mà chiếc xe tải có thể phải chịu?","Đối với tình huống: Vào sáng ngày 12/08/2024, tại đoạn đường 2km từ chỗ giao lộ Hòa Bình - Phương Nam, thành phố Cần Thơ, một chiếc xe tải tải trục đơn màu xanh lá đang di chuyển trên đường cao tốc, đã: (i) không đeo dây an toàn khi có hành khách 3 người; (ii) đang sử dụng điện thoại di động trong khi điều khiển xe; (iii) khi tới ngã tư, đã vượt qua tín hiệu đèn đỏ và tiếp tục vào vòng chờ của giao thông đường bộ; (iv) sau khi đỗ ở chỗ dừng xe tải ngay dưới dừng xe buýt, xe tải đã chuyển vào làn đường dành cho xe ô tô để vượt qua một chiếc xe hơi đang đợi đỗ xe. Hình thức vi phạm giao thông nào được ràng buộc trong tình huống này và trách nhiệm pháp lý mà chiếc xe tải có thể phải chịu?
Theo Luật Giao thông đường bộ Việt Nam, Luật Giao thông đường bộ 2019, xử lý như sau:
1. Không đeo dây an toàn khi có hành khách
Không đeo dây an toàn khi có 3 hành khách
Mức phạt tiền: từ 5,000,000 – 10,000,000 đồng.
2. Sử dụng điện thoại di động trong khi điều khiển xe
Sử dụng điện thoại di động khi điều khiển xe
Mức phạt tiền: từ 5,000,000 – 10,000,000 đồng.
3. Vượt qua tín hiệu đèn đỏ và tiếp tục vào vòng chờ
Vượt tín hiệu đèn đỏ và tiếp tục vào vòng chờ
Mức phạt tiền: từ 10,000,000 – 20,000,000 đồng.
Hình phạt bổ sung: có thể bị tước Giấy phép lái xe 1 tháng.
4. Chuyển vào làn đường dành cho xe ô tô để vượt qua xe hơi
Chuyển vào làn đường dành cho xe ô tô để vượt qua xe hơi đang đợi đỗ xe
Mức phạt tiền: từ 5,000,000 – 10,000,000 đồng.
Căn cứ: Luật Giao thông đường bộ 2019, 55, 1; Luật Giao thông đường bộ 2019, 55, 2; Luật Giao thông đường bộ 2019, 55, 4; Luật Giao thông đường bộ 2019, 55, 6.
Nếu vi phạm đồng thời, tiền phạt được cộng dồn (tổng từ 25 triệu đến 50 triệu đồng), và có nguy cơ bị tước GPLX tối đa 1 tháng.
Nếu vi phạm đồng thời, tiền phạt được cộng dồn (tổng khoảng 25,000,000 – 50,000,000 đồng), và có nguy cơ bị tước GPLX tối đa 1 tháng."
